"Temperatura","Humedad","VientoVelocidad","Precipitation","PresionAtmosferica","Localizacion","TipoClima","Estacion"
41,28,5,17,1026.26,"Montania","Soleado","Otonio"
23,49,0.5,1,1018.88,"Costa","Soleado","Otonio"
32,68,5.5,38,1008.33,"Llanura","Nublado","Otonio"
-12,93,20,80,988.25,"Llanura","Nevado","Invierno"
12,73,13.5,33,1005.12,"Llanura","Nublado","Primavera"
3,95,11.5,85,982.49,"Montania","Nevado","Invierno"
15,60,13.5,61,1006.08,"Montania","Lluvioso","Primavera"
42,67,4.5,7,1027.05,"Llanura","Soleado","Verano"
-7,66,18,80,986.3,"Llanura","Nevado","Invierno"
26,35,4,16,1021.07,"Montania","Soleado","Verano"
15,66,8.5,75,1001.76,"Llanura","Lluvioso","Otonio"
25,74,9.5,94,991.25,"Llanura","Lluvioso","Primavera"
47,70,2.5,60,885.57,"Costa","Nublado","Primavera"
29,93,32,89,1008.32,"Costa","Lluvioso","Verano"
27,62,8,13,1028.64,"Montania","Soleado","Primavera"
21,41,8.5,13,1010.11,"Costa","Soleado","Otonio"
16,63,8,14,1016.32,"Llanura","Nublado","Verano"
22,78,6.5,46,1017.49,"Llanura","Nublado","Primavera"
26,69,3.5,3,1012.11,"Montania","Soleado","Otonio"
23,99,14,76,1011.51,"Montania","Lluvioso","Verano"
33,58,8,3,1021.04,"Montania","Soleado","Primavera"
26,68,13,37,1003.85,"Llanura","Nublado","Primavera"
-3,73,22.5,105,984.53,"Montania","Nevado","Invierno"
30,54,4,33,1009.9,"Llanura","Nublado","Verano"
27,98,12,94,1010.09,"Montania","Lluvioso","Primavera"
64,73,26.5,76,1003.76,"Llanura","Nublado","Otonio"
25,21,1.5,19,1024.59,"Costa","Soleado","Verano"
16,76,10,99,1014.09,"Montania","Lluvioso","Primavera"
23,89,17.5,95,1017.57,"Llanura","Lluvioso","Otonio"
-9,93,6.5,54,981.5,"Montania","Nevado","Invierno"
30,64,8,91,1016.11,"Costa","Lluvioso","Otonio"
-11,72,3.5,69,1060.27,"Montania","Lluvioso","Invierno"
10,51,5,15,1015.31,"Montania","Nublado","Verano"
-1,36,8,60,1030.23,"Llanura","Soleado","Primavera"
33,43,0,13,1029.82,"Llanura","Soleado","Primavera"
75,104,5.5,87,1011.7,"Costa","Soleado","Verano"
10,76,12.5,29,1011.93,"Llanura","Nublado","Otonio"
20,61,1,32,1013.06,"Montania","Nublado","Otonio"
66,80,11.5,97,1027.84,"Llanura","Soleado","Primavera"
16,98,13,75,994.18,"Llanura","Lluvioso","Otonio"
-7,66,7,76,985.52,"Montania","Nevado","Invierno"
39,58,5,13,1024.2,"Llanura","Soleado","Otonio"
21,65,5.5,82,1170.94,"Montania","Nublado","Otonio"
23,68,1,13,1002.42,"Costa","Nublado","Primavera"
18,56,3.5,15,1003.46,"Montania","Nublado","Verano"
24,92,12.5,56,1013.18,"Llanura","Lluvioso","Verano"
11,44,2.5,65,966.42,"Costa","Nublado","Primavera"
23,41,8,18,1027.83,"Llanura","Soleado","Otonio"
44,35,7,2,1011.3,"Llanura","Soleado","Primavera"
20,75,13,32,1002.16,"Llanura","Nublado","Verano"
62,101,19.5,77,1006.98,"Montania","Nublado","Primavera"
38,43,1,14,1017.61,"Montania","Soleado","Otonio"
19,76,27.5,102,999.29,"Costa","Lluvioso","Invierno"
30,108,9,72,1012.44,"Montania","Soleado","Verano"
26,72,10,94,1002.88,"Costa","Lluvioso","Verano"
37,63,3.5,17,1025.55,"Costa","Soleado","Invierno"
39,35,9.5,71,852.69,"Llanura","Nublado","Otonio"
40,28,2.5,13,1014.62,"Llanura","Soleado","Verano"
10,90,6,54,994.68,"Llanura","Lluvioso","Verano"
37,61,3,13,1027.24,"Llanura","Soleado","Otonio"
43,33,12.5,77,1154.78,"Llanura","Soleado","Verano"
15,71,11.5,72,1007.88,"Costa","Lluvioso","Verano"
85,72,11.5,101,1028.71,"Montania","Soleado","Primavera"
42,90,41,89,1003.01,"Costa","Lluvioso","Primavera"
11,65,3.5,47,1013.23,"Montania","Nublado","Verano"
30,73,13,78,999.13,"Costa","Lluvioso","Verano"
22,72,7.5,23,1005.36,"Montania","Nublado","Otonio"
30,72,13.5,28,1004.88,"Montania","Nublado","Otonio"
33,76,7.5,24,1011.16,"Costa","Nublado","Otonio"
34,73,6.5,92,991.93,"Llanura","Lluvioso","Verano"
32,53,10,43,1017.86,"Costa","Nublado","Otonio"
24,68,9,0,1017.94,"Llanura","Soleado","Invierno"
53,74,3,76,1012.12,"Llanura","Soleado","Otonio"
32,26,5.5,10,1143.32,"Costa","Lluvioso","Primavera"
44,30,2,2,1019.88,"Llanura","Soleado","Otonio"
41,35,13,70,852.68,"Llanura","Soleado","Invierno"
12,76,0.5,15,1008.33,"Costa","Nublado","Otonio"
25,63,4,0,1022.5,"Llanura","Soleado","Primavera"
42,75,8,77,1010.43,"Llanura","Nublado","Primavera"
19,57,6.5,19,1018.46,"Llanura","Nublado","Verano"
23,76,9.5,38,1002.62,"Montania","Nublado","Verano"
-9,68,15.5,83,995.49,"Montania","Nevado","Invierno"
19,74,44,83,1010.35,"Costa","Lluvioso","Verano"
37,109,21,94,994.49,"Montania","Lluvioso","Primavera"
-1,96,3.5,76,980.9,"Llanura","Nevado","Invierno"
26,65,2,34,1011.74,"Montania","Nublado","Otonio"
10,78,8.5,60,1000.02,"Llanura","Lluvioso","Verano"
21,74,12,33,1010.11,"Costa","Nublado","Verano"
23,83,6,56,1000.16,"Montania","Lluvioso","Verano"
26,74,8.5,61,994.22,"Montania","Lluvioso","Primavera"
31,61,0.5,33,1009.13,"Costa","Nublado","Primavera"
-6,34,1.5,42,864.11,"Costa","Lluvioso","Otonio"
12,70,18,97,995.36,"Costa","Lluvioso","Primavera"
13,55,7.5,18,1009.51,"Montania","Nublado","Verano"
3,87,33,86,990.47,"Montania","Nevado","Invierno"
12,94,19,56,1003.53,"Costa","Lluvioso","Otonio"
2,75,7.5,99,997.93,"Montania","Nevado","Invierno"
38,68,8.5,16,1013.57,"Montania","Soleado","Primavera"
30,20,2.5,15,1018.98,"Costa","Soleado","Primavera"
21,26,2.5,3,1011.68,"Montania","Soleado","Verano"
42,50,1,11,1022.88,"Costa","Soleado","Otonio"
17,73,7,45,1018.89,"Llanura","Nublado","Verano"
41,22,0.5,10,1016.47,"Costa","Soleado","Invierno"
-6,73,6.5,92,980.75,"Montania","Nevado","Invierno"
25,60,1,39,1009.34,"Montania","Nublado","Invierno"
44,38,1,7,1020.35,"Costa","Soleado","Otonio"
43,52,10,43,975.05,"Costa","Lluvioso","Verano"
3,70,2,68,1159.16,"Montania","Soleado","Otonio"
3,64,2.5,78,989.12,"Llanura","Nevado","Invierno"
38,47,1.5,8,1017.81,"Montania","Soleado","Primavera"
3,68,6,82,988.65,"Montania","Nevado","Invierno"
21,64,8.5,80,1008.45,"Llanura","Lluvioso","Primavera"
28,69,7.5,59,1011.17,"Costa","Lluvioso","Invierno"
21,68,4.5,0,1017.24,"Llanura","Soleado","Primavera"
17,32,0,81,949.95,"Llanura","Soleado","Verano"
17,68,10,44,1007.36,"Llanura","Nublado","Primavera"
2,69,7.5,84,837.34,"Montania","Nevado","Verano"
34,96,10,62,1009.23,"Llanura","Lluvioso","Verano"
30,71,9.5,45,1003.98,"Montania","Nublado","Invierno"
28,32,5,2,1028.19,"Llanura","Soleado","Verano"
21,67,9,88,1013.69,"Montania","Lluvioso","Invierno"
20,58,7.5,2,1011.32,"Montania","Soleado","Otonio"
28,48,8,15,1016.3,"Costa","Soleado","Otonio"
25,53,4,6,1024.05,"Montania","Soleado","Primavera"
28,30,8,12,1021.11,"Llanura","Soleado","Primavera"
37,95,5.5,78,1002.44,"Montania","Nublado","Otonio"
28,54,0,28,1002.12,"Costa","Nublado","Primavera"
25,64,6,34,1004.09,"Montania","Nublado","Otonio"
-19,93,7.5,103,994.04,"Montania","Nevado","Invierno"
22,65,13,31,1016.64,"Montania","Nublado","Verano"
36,54,3.5,9,1023.47,"Costa","Soleado","Invierno"
28,65,13,86,1006.89,"Costa","Lluvioso","Otonio"
43,62,8,3,1020.18,"Montania","Soleado","Otonio"
11,83,33,104,1005.89,"Costa","Nublado","Verano"
29,27,13,22,1127.97,"Montania","Soleado","Invierno"
20,41,2.5,11,1014.53,"Costa","Soleado","Otonio"
22,74,0.5,39,1017.46,"Montania","Nublado","Invierno"
97,100,5,96,1018.66,"Llanura","Soleado","Otonio"
27,53,2,8,1028.55,"Llanura","Soleado","Primavera"
-4,98,0.5,54,985.51,"Montania","Nevado","Invierno"
32,66,13,21,1006.06,"Llanura","Nublado","Verano"
24,23,9,18,1020.46,"Costa","Soleado","Invierno"
28,92,19.5,78,1017.8,"Costa","Lluvioso","Otonio"
28,86,14,70,1013.96,"Costa","Lluvioso","Verano"
-6,99,14,72,984.73,"Montania","Nevado","Invierno"
-9,86,25,85,982.06,"Montania","Nevado","Invierno"
32,64,15.5,96,1019.47,"Montania","Lluvioso","Otonio"
-10,86,19.5,79,991.64,"Montania","Nevado","Invierno"
28,63,4.5,18,1013.83,"Llanura","Soleado","Otonio"
28,71,20,59,998.86,"Montania","Lluvioso","Invierno"
32,31,12,29,1063.71,"Costa","Soleado","Otonio"
4,78,9,79,983.75,"Llanura","Nevado","Invierno"
25,54,12,49,1003.54,"Costa","Nublado","Invierno"
32,73,5.5,73,1005.24,"Llanura","Lluvioso","Invierno"
33,36,9,0,1020.17,"Llanura","Soleado","Verano"
84,81,2,71,1010.56,"Llanura","Soleado","Primavera"
31,56,7.5,49,1015.65,"Montania","Nublado","Invierno"
25,53,10.5,39,1008.15,"Montania","Nublado","Primavera"
14,61,8.5,26,1018.16,"Montania","Nublado","Primavera"
33,63,10,39,1003.66,"Costa","Nublado","Otonio"
-15,70,14,69,857.72,"Montania","Soleado","Verano"
29,44,4,19,1023.01,"Llanura","Soleado","Invierno"
34,79,1.5,34,1008.11,"Costa","Nublado","Invierno"
18,62,13.5,27,1186.57,"Llanura","Lluvioso","Verano"
38,36,2,7,1024.42,"Montania","Soleado","Primavera"
1,69,15,99,997.52,"Montania","Nevado","Invierno"
11,63,8,91,1008.25,"Montania","Lluvioso","Verano"
9,33,9,20,857.34,"Montania","Lluvioso","Primavera"
13,99,18.5,70,1008.25,"Montania","Lluvioso","Verano"
23,21,9.5,12,1015.87,"Costa","Soleado","Verano"
-6,76,12,46,931.12,"Llanura","Lluvioso","Otonio"
25,40,9.5,14,1026.38,"Llanura","Soleado","Otonio"
42,56,8,14,1015.38,"Llanura","Soleado","Otonio"
22,42,4,8,1028.58,"Costa","Soleado","Primavera"
27,78,8,21,1019.21,"Costa","Nublado","Otonio"
60,91,15,100,1022.88,"Costa","Soleado","Verano"
27,89,8,85,1018.88,"Costa","Soleado","Primavera"
-18,28,5.5,42,938.68,"Costa","Lluvioso","Otonio"
2,71,10,59,997.45,"Montania","Nevado","Invierno"
19,64,5.5,27,1003.31,"Llanura","Nublado","Otonio"
24,66,1,12,1022.17,"Costa","Soleado","Otonio"
41,103,24,93,1009,"Llanura","Nublado","Otonio"
10,79,7,34,1019.41,"Costa","Nublado","Verano"
30,54,12,35,1017.78,"Montania","Nublado","Otonio"
21,108,34,82,1001.29,"Costa","Nublado","Invierno"
36,36,3,16,1015.2,"Costa","Soleado","Primavera"
12,69,8,34,1010.99,"Llanura","Nublado","Otonio"
27,66,8.5,23,1017.97,"Costa","Nublado","Primavera"
29,70,10,29,1004.78,"Llanura","Nublado","Primavera"
-6,94,7,92,980.64,"Llanura","Nevado","Invierno"
27,87,18.5,63,992.66,"Llanura","Lluvioso","Verano"
-7,76,7.5,68,981.83,"Llanura","Nevado","Invierno"
28,69,9,31,1006.99,"Costa","Nublado","Primavera"
38,58,2,15,1020.46,"Llanura","Soleado","Otonio"
22,72,1.5,46,1012.43,"Costa","Nublado","Otonio"
45,21,14.5,29,827.53,"Llanura","Nevado","Invierno"
33,66,10.5,99,996.42,"Montania","Lluvioso","Invierno"
33,50,11.5,48,1017.08,"Llanura","Nublado","Otonio"
27,70,12.5,59,995.11,"Llanura","Lluvioso","Otonio"
25,68,7.5,99,1015.65,"Costa","Lluvioso","Primavera"
43,29,3.5,17,1029.17,"Llanura","Soleado","Primavera"
11,61,9.5,41,1008.3,"Montania","Nublado","Verano"
11,67,7,30,1000.72,"Llanura","Nublado","Primavera"
43,34,6,9,1023.04,"Montania","Soleado","Invierno"
17,76,24.5,98,1013.75,"Montania","Lluvioso","Primavera"
14,78,8,21,1002.38,"Montania","Nublado","Verano"
26,97,15.5,70,992.5,"Llanura","Lluvioso","Primavera"
26,78,15.5,77,1016.92,"Montania","Lluvioso","Otonio"
41,54,9,4,1013.57,"Llanura","Soleado","Otonio"
-2,78,3,97,993.68,"Montania","Nevado","Invierno"
28,76,11.5,44,1016.96,"Costa","Nublado","Otonio"
33,94,12.5,91,1009.87,"Llanura","Lluvioso","Verano"
23,93,6,77,1013.28,"Costa","Lluvioso","Invierno"
12,56,13.5,21,1002.46,"Llanura","Nublado","Primavera"
11,50,5.5,28,1005.71,"Costa","Nublado","Primavera"
29,67,8.5,47,1006.38,"Montania","Nublado","Otonio"
15,72,8.5,78,1010.21,"Montania","Lluvioso","Invierno"
-2,91,16.5,53,982.67,"Llanura","Nevado","Invierno"
37,96,0.5,95,1011.57,"Llanura","Soleado","Primavera"
25,68,12.5,76,996.26,"Costa","Lluvioso","Primavera"
28,58,6.5,11,1025.37,"Llanura","Soleado","Verano"
30,80,17.5,54,991.7,"Costa","Lluvioso","Invierno"
25,58,15,12,1000.72,"Costa","Nublado","Primavera"
-9,65,7,67,990.43,"Llanura","Nevado","Invierno"
24,38,3.5,16,1010.72,"Llanura","Soleado","Otonio"
25,66,8.5,3,1013.33,"Costa","Soleado","Verano"
39,102,26,94,1005.54,"Costa","Nublado","Verano"
12,90,15,78,1018.83,"Costa","Lluvioso","Invierno"
-10,95,12.5,88,984.88,"Llanura","Nevado","Invierno"
22,76,17.5,86,990.3,"Costa","Lluvioso","Verano"
-5,60,11.5,61,995.16,"Montania","Nevado","Invierno"
30,59,9.5,22,1004.19,"Llanura","Nublado","Verano"
32,77,9.5,21,1006.4,"Montania","Nublado","Otonio"
29,54,3.5,44,1007.09,"Llanura","Nublado","Otonio"
35,32,6.5,9,1013.84,"Llanura","Soleado","Primavera"
26,94,12.5,66,994.06,"Montania","Lluvioso","Primavera"
-17,97,3,85,989.42,"Montania","Nevado","Invierno"
21,87,18,51,1003.74,"Costa","Lluvioso","Invierno"
15,56,2,36,1017.79,"Costa","Nublado","Primavera"
35,57,4,5,1011.76,"Costa","Soleado","Invierno"
11,85,8.5,71,1018.7,"Costa","Lluvioso","Otonio"
31,62,4.5,6,1025.65,"Montania","Soleado","Primavera"
-8,85,20,63,990.07,"Llanura","Nevado","Invierno"
17,62,10.5,29,1010.48,"Costa","Nublado","Primavera"
22,51,8,49,1014.92,"Llanura","Nublado","Otonio"
12,64,9,14,1015.82,"Llanura","Nublado","Invierno"
25,55,12.5,39,1018.17,"Llanura","Nublado","Otonio"
5,104,12,95,1002.57,"Montania","Nublado","Otonio"
31,75,5,33,1008.2,"Montania","Nublado","Verano"
24,54,12.5,10,1000.83,"Montania","Nublado","Verano"
12,76,6.5,47,1011.37,"Montania","Nublado","Primavera"
26,59,6,1,1019.64,"Llanura","Soleado","Otonio"
34,77,9.5,24,1001.9,"Costa","Nublado","Verano"
-1,96,21.5,91,988.78,"Montania","Nevado","Invierno"
19,99,8.5,99,1004.36,"Montania","Nublado","Primavera"
43,48,5,26,936.13,"Llanura","Nevado","Verano"
-9,96,0,99,995.66,"Llanura","Nevado","Invierno"
10,68,18.5,50,994.73,"Costa","Lluvioso","Verano"
15,59,15,17,1004.33,"Montania","Nublado","Verano"
30,76,3,19,1019.94,"Costa","Nublado","Verano"
42,32,9,17,1027.31,"Costa","Soleado","Verano"
40,23,2,19,1023.15,"Llanura","Soleado","Primavera"
21,41,2.5,18,1012.67,"Llanura","Soleado","Verano"
22,99,18.5,57,1018.13,"Montania","Lluvioso","Primavera"
29,62,13.5,33,1017.15,"Costa","Nublado","Verano"
14,58,10.5,42,1008.41,"Montania","Nublado","Invierno"
30,21,7.5,15,1022.61,"Montania","Soleado","Invierno"
68,84,8,92,1011.47,"Costa","Soleado","Invierno"
19,63,3,27,804.48,"Llanura","Soleado","Primavera"
24,92,2,95,1006.73,"Montania","Nublado","Invierno"
1,20,12.5,26,1133.55,"Llanura","Lluvioso","Otonio"
-6,60,3,97,984.98,"Montania","Nevado","Invierno"
-9,76,7,69,989.39,"Llanura","Nevado","Invierno"
1,78,6,58,989.11,"Llanura","Nevado","Invierno"
30,57,7,35,1000.25,"Montania","Nublado","Primavera"
58,91,12,95,1025.82,"Costa","Soleado","Primavera"
8,71,24.5,74,1004.73,"Montania","Nublado","Otonio"
14,88,16.5,97,1015.85,"Llanura","Lluvioso","Invierno"
22,71,9,38,1010.86,"Montania","Nublado","Invierno"
-1,70,5,50,985.2,"Montania","Nevado","Invierno"
23,76,2,37,1011.72,"Montania","Nublado","Invierno"
3,64,0,96,989.42,"Llanura","Nevado","Invierno"
63,76,7,82,1019.46,"Llanura","Nublado","Verano"
32,25,4,12,1018.9,"Costa","Soleado","Primavera"
19,23,4.5,96,854.45,"Montania","Nevado","Verano"
4,44,13.5,35,1104.13,"Costa","Soleado","Primavera"
38,64,9.5,19,1018.96,"Costa","Soleado","Otonio"
19,61,4.5,13,1016.97,"Llanura","Nublado","Otonio"
24,53,11,19,1005.07,"Costa","Nublado","Primavera"
2,73,1.5,69,989.31,"Montania","Nevado","Invierno"
-7,81,7.5,87,994.95,"Llanura","Nevado","Invierno"
84,71,25.5,104,1008.14,"Llanura","Nublado","Otonio"
14,78,10,62,999.1,"Costa","Lluvioso","Otonio"
14,66,12,22,1007.43,"Llanura","Nublado","Otonio"
3,63,15,52,988.89,"Llanura","Nevado","Invierno"
10,68,4.5,11,1000.84,"Montania","Nublado","Verano"
16,56,3,23,1003.92,"Montania","Nublado","Otonio"
22,68,18,53,1016.33,"Llanura","Lluvioso","Verano"
44,55,4,5,1028.9,"Montania","Soleado","Primavera"
34,68,11,59,1015.76,"Costa","Lluvioso","Verano"
23,81,18,97,1018,"Costa","Lluvioso","Primavera"
4,73,0,88,992.33,"Llanura","Nevado","Invierno"
-12,53,10,77,1008.78,"Montania","Nublado","Invierno"
34,46,0,18,1026.71,"Montania","Soleado","Primavera"
35,48,8,11,1015.64,"Llanura","Soleado","Primavera"
34,94,17,88,1005.87,"Llanura","Nublado","Otonio"
40,48,6.5,16,1027.73,"Montania","Soleado","Otonio"
12,61,11,30,1015.88,"Llanura","Nublado","Invierno"
29,66,11.5,62,999.91,"Costa","Lluvioso","Otonio"
6,48,1,43,1081.17,"Costa","Nublado","Otonio"
-1,93,18.5,77,980.07,"Llanura","Nevado","Invierno"
22,86,5.5,59,1017.57,"Llanura","Lluvioso","Invierno"
51,86,3,79,1029.16,"Costa","Soleado","Primavera"
31,52,9,9,1020.32,"Montania","Soleado","Otonio"
76,79,16,92,1015.49,"Montania","Lluvioso","Invierno"
-12,20,4.5,12,1004.07,"Costa","Soleado","Otonio"
-6,92,4.5,97,985.09,"Llanura","Nevado","Invierno"
10,61,7,80,995.17,"Costa","Lluvioso","Verano"
17,91,15,76,1013.57,"Montania","Lluvioso","Verano"
17,81,17.5,66,996.53,"Llanura","Lluvioso","Primavera"
29,70,11.5,80,1007.59,"Costa","Lluvioso","Invierno"
54,73,2.5,71,1027.68,"Llanura","Soleado","Verano"
24,58,14,30,1018.24,"Costa","Nublado","Otonio"
16,63,17.5,98,1001.23,"Costa","Lluvioso","Verano"
-7,91,15,81,988.76,"Montania","Nevado","Invierno"
33,79,2.5,19,1004.7,"Llanura","Nublado","Otonio"
23,47,8,5,1024.93,"Llanura","Soleado","Invierno"
29,91,7,63,1019.93,"Montania","Lluvioso","Invierno"
33,69,3.5,13,1012.04,"Montania","Nublado","Verano"
23,38,5.5,2,1010.28,"Llanura","Soleado","Verano"
28,53,11,11,1018.35,"Llanura","Nublado","Verano"
28,83,5.5,96,999.93,"Costa","Lluvioso","Verano"
10,92,5.5,80,1005.5,"Llanura","Nublado","Otonio"
15,55,7.5,45,1017.25,"Montania","Nublado","Otonio"
34,48,6.5,17,1018.92,"Costa","Soleado","Verano"
10,87,20,66,994.22,"Llanura","Lluvioso","Verano"
-4,74,13,69,999.16,"Montania","Nevado","Invierno"
30,74,12.5,14,1007.07,"Costa","Nublado","Otonio"
18,77,10.5,27,1006.48,"Llanura","Nublado","Verano"
16,78,5.5,38,1012.74,"Montania","Nublado","Primavera"
22,67,11,61,998.45,"Llanura","Lluvioso","Otonio"
13,84,15,70,996.59,"Costa","Lluvioso","Verano"
12,94,16,57,1003.33,"Costa","Lluvioso","Primavera"
14,52,12,13,1005.74,"Costa","Nublado","Otonio"
15,51,4,34,1006.34,"Llanura","Nublado","Primavera"
24,78,12.5,103,1004.42,"Llanura","Nublado","Otonio"
39,52,2,8,1012.3,"Llanura","Soleado","Otonio"
23,60,5,9,1011.77,"Costa","Soleado","Primavera"
10,60,14.5,78,1019.93,"Costa","Lluvioso","Primavera"
15,53,8.5,24,1004.49,"Montania","Nublado","Verano"
19,56,8.5,38,1011.34,"Montania","Nublado","Verano"
28,77,8,76,1082.17,"Montania","Nevado","Invierno"
-10,99,8,50,989.49,"Llanura","Nevado","Invierno"
44,44,5,19,1028.29,"Montania","Soleado","Primavera"
2,100,15,70,991.86,"Llanura","Nevado","Invierno"
28,27,7.5,70,944.87,"Montania","Nublado","Invierno"
10,76,6.5,46,1016.95,"Llanura","Nublado","Otonio"
33,50,0,11,1010.43,"Costa","Nublado","Invierno"
31,59,10,33,1006.43,"Costa","Nublado","Otonio"
1,105,25,78,991.37,"Montania","Nevado","Invierno"
10,78,8,98,1014.2,"Montania","Lluvioso","Primavera"
26,71,2,38,1002.85,"Llanura","Nublado","Primavera"
35,20,4,0,1015.07,"Costa","Soleado","Primavera"
24,46,5,12,1027.27,"Costa","Soleado","Otonio"
35,50,0.5,3,1024.9,"Llanura","Soleado","Invierno"
14,69,14,65,1012.87,"Llanura","Lluvioso","Primavera"
41,102,20,99,1025.5,"Llanura","Soleado","Otonio"
-7,89,4.5,57,980.41,"Llanura","Nevado","Invierno"
-14,75,2.5,63,995.24,"Montania","Nublado","Verano"
40,61,9,4,1017.38,"Montania","Soleado","Verano"
26,66,9,28,1126.33,"Montania","Soleado","Otonio"
15,91,30.5,83,1009.66,"Llanura","Lluvioso","Otonio"
30,79,2.5,23,1010.44,"Montania","Nublado","Otonio"
35,24,2.5,4,1013.27,"Llanura","Soleado","Invierno"
32,34,2,4,1016.43,"Costa","Soleado","Verano"
34,23,9,9,1017.03,"Llanura","Soleado","Verano"
37,69,7.5,5,1026.99,"Costa","Soleado","Verano"
21,67,8,6,1026.98,"Costa","Soleado","Otonio"
21,52,10,18,1026.69,"Llanura","Soleado","Verano"
19,50,2,27,1000.33,"Montania","Nublado","Verano"
30,50,7,25,1007.2,"Llanura","Nublado","Invierno"
17,66,11.5,29,1006.5,"Llanura","Nublado","Invierno"
31,78,15,11,1010.88,"Costa","Nublado","Verano"
20,61,16.5,94,1001.79,"Costa","Lluvioso","Otonio"
12,69,9,28,1000.76,"Montania","Nublado","Invierno"
0,82,19.5,98,998.57,"Montania","Nevado","Invierno"
32,83,9,55,1004.79,"Llanura","Lluvioso","Primavera"
21,63,9,26,1000.92,"Montania","Nublado","Primavera"
25,100,20,107,1004.5,"Costa","Lluvioso","Otonio"
39,49,3.5,4,1012.92,"Costa","Soleado","Verano"
26,70,13.5,48,1015.07,"Costa","Nublado","Otonio"
28,24,5.5,1,1020.74,"Llanura","Soleado","Primavera"
-7,63,10.5,91,992.2,"Llanura","Nevado","Invierno"
18,63,8,41,1009.47,"Costa","Nublado","Invierno"
18,68,10,26,1002.54,"Llanura","Nublado","Primavera"
34,84,16.5,95,992.34,"Costa","Lluvioso","Primavera"
-6,24,4.5,85,847.34,"Montania","Nublado","Otonio"
-4,72,16.5,91,989.39,"Montania","Nevado","Invierno"
-7,85,14.5,51,996.17,"Llanura","Nevado","Invierno"
25,72,13,36,1012.73,"Costa","Nublado","Verano"
30,36,3.5,1,1022.96,"Costa","Soleado","Verano"
11,78,13.5,10,1007.63,"Costa","Nublado","Verano"
32,80,7,99,1011.36,"Costa","Lluvioso","Otonio"
-6,65,7.5,62,997.59,"Montania","Nevado","Invierno"
32,97,19,77,994.82,"Costa","Lluvioso","Verano"
19,93,11,78,993.24,"Montania","Lluvioso","Verano"
3,94,6,67,987.69,"Montania","Nevado","Invierno"
23,58,8,88,1014.38,"Costa","Soleado","Primavera"
34,53,12.5,46,1019.99,"Montania","Nublado","Otonio"
19,68,13.5,22,1145.75,"Costa","Lluvioso","Otonio"
-5,83,16.5,76,990.91,"Llanura","Nevado","Invierno"
38,90,35,71,1014.97,"Costa","Lluvioso","Primavera"
3,99,11.5,63,984.14,"Llanura","Nevado","Invierno"
24,49,2.5,4,1013.85,"Llanura","Soleado","Verano"
13,71,7.5,43,1002.47,"Llanura","Nublado","Primavera"
22,81,19,67,1015.57,"Costa","Lluvioso","Primavera"
26,24,1,5,1023.01,"Montania","Soleado","Invierno"
28,50,1.5,13,1017.92,"Montania","Soleado","Primavera"
-10,68,8,85,995.14,"Llanura","Nevado","Invierno"
1,66,5.5,90,982.19,"Llanura","Nevado","Invierno"
4,65,1,61,1135.33,"Montania","Nevado","Otonio"
42,24,3,6,1012.91,"Costa","Soleado","Primavera"
-4,89,1,96,985.17,"Montania","Nevado","Invierno"
20,52,14,11,1000.96,"Costa","Nublado","Otonio"
36,57,8,9,1017.44,"Montania","Soleado","Otonio"
26,59,8.5,12,1011.13,"Montania","Soleado","Verano"
14,56,10,37,1013.57,"Costa","Nublado","Primavera"
32,28,9.5,8,1020.92,"Costa","Soleado","Verano"
52,109,22.5,89,1013.4,"Montania","Nublado","Verano"
26,64,2.5,26,1004.98,"Montania","Nublado","Verano"
27,37,3,14,1010.14,"Costa","Soleado","Invierno"
3,93,4.5,76,985.35,"Montania","Nevado","Invierno"
22,32,9,10,1010.66,"Llanura","Soleado","Otonio"
31,65,5.5,61,990.46,"Costa","Lluvioso","Invierno"
42,47,2,48,1167.43,"Costa","Lluvioso","Primavera"
19,89,9,56,992.21,"Llanura","Lluvioso","Otonio"
2,67,16.5,59,987.68,"Montania","Nevado","Invierno"
22,72,17,99,1024.08,"Montania","Soleado","Primavera"
15,69,1.5,42,1007.18,"Llanura","Nublado","Otonio"
0,56,10,37,1147.58,"Costa","Soleado","Invierno"
-7,76,11,57,985.62,"Llanura","Nevado","Invierno"
30,85,19.5,88,991.51,"Montania","Lluvioso","Invierno"
34,43,5.5,10,1018.35,"Montania","Soleado","Primavera"
-5,60,2.5,94,983.45,"Montania","Nevado","Invierno"
24,65,8.5,26,1012.1,"Montania","Nublado","Verano"
15,56,6.5,23,1012,"Llanura","Nublado","Otonio"
11,85,18.5,78,1016.02,"Montania","Lluvioso","Primavera"
76,93,0.5,71,1012.51,"Llanura","Soleado","Primavera"
-2,65,4.5,62,993.09,"Llanura","Nevado","Invierno"
26,70,6,11,1004.74,"Costa","Nublado","Primavera"
-4,68,17.5,73,982.14,"Llanura","Nevado","Invierno"
21,88,14.5,91,993.84,"Costa","Lluvioso","Otonio"
34,55,14,36,1003.77,"Montania","Nublado","Verano"
34,91,5.5,95,1013.87,"Costa","Lluvioso","Otonio"
18,79,10,85,994.54,"Costa","Lluvioso","Verano"
30,82,9.5,99,1008.27,"Llanura","Lluvioso","Primavera"
24,90,6,52,990.47,"Costa","Lluvioso","Primavera"
15,60,1,17,1006.13,"Costa","Nublado","Primavera"
